"","X","site.old","site.code","site","quad","month","day","year","date","survey.season","survey.month","tran.loc.m","cover","no.fuc.q","no.large.fuc.q","no.small.fuc.q","fuc.ht","covcl.repro","ww.veg","ww.repro","ww.recp","dw.veg","dw.repro","dw.recp","apices.repro","apices.veg","no.concept.recp","oog.conc.1","oog.conc.2","oog.conc.3","groove","notes","perc.ra","avg.oog","perc.rdw"
"111",111,"HS","HSB","Horseshoe Bay",9,3,14,2019,"3/14/2019","Winter 2019","19-Mar",12,5,1,0,1,16.1,1,10.249,2.261,NA,3.561,0.697,NA,27,40,NA,NA,NA,NA,NA,"",40.2985074626866,NA,16.3691874119305
"112",112,"ND","PTC","Point Chauncey",7,3,15,2019,"3/15/2019","Winter 2019","19-Mar",9,26,15,2,13,20.8,1,8.898,1.575,NA,2.26,0.237,NA,11,52,NA,NA,NA,NA,NA,"",17.4603174603175,NA,9.49138966760112
"113",113,"BY","BYP","Brickyard Park",2,4,9,2019,"4/9/2019","Spring 2019","19-Apr",3,43,37,2,35,13.1,1,8.972,0,NA,2.211,0,NA,0,42,NA,NA,NA,NA,NA,"",0,NA,0
"114",114,"BY","BYP","Brickyard Park",3,4,9,2019,"4/9/2019","Spring 2019","19-Apr",4,36,14,9,5,23.5,1,19.645,7.636,NA,4.83,0.76,NA,23,64,NA,NA,NA,NA,NA,"",26.4367816091954,NA,13.5957066189624
"115",115,"BY","BYP","Brickyard Park",4,4,9,2019,"4/9/2019","Spring 2019","19-Apr",7,31,13,7,6,28.9,1,62.947,15.732,1.153,15.418,1.403,0.098,43,134,346,10,3,17,"N","",24.2937853107345,10,8.3407645205398
"116",116,"HS","HSB","Horseshoe Bay",3,4,9,2019,"4/9/2019","Spring 2019","19-Apr",4,15,12,1,11,17.1,1,12.385,36.642,3.272,2.896,2.799,0.229,54,46,746,80,69,43,"Y","",54,64,49.1483757682177
"117",117,"ND","PTC","Point Chauncey",1,4,11,2019,"4/11/2019","Spring 2019","19-Apr",2,2,0,0,0,6.8,1,1.737,0,NA,0.456,0,NA,0,14,NA,NA,NA,NA,NA,"",0,NA,0
"118",118,"ND","PTC","Point Chauncey",5,4,11,2019,"4/11/2019","Spring 2019","19-Apr",7,5,4,0,4,10,1,3.85,0,NA,1.254,0,NA,0,26,NA,NA,NA,NA,NA,"",0,NA,0
"119",119,"ND","PTC","Point Chauncey",9,4,11,2019,"4/11/2019","Spring 2019","19-Apr",14,0,0,0,0,16.8,1,16.041,4.427,0.313,4.276,0.644,0.082,9,78,224,49,72,50,"Y","",10.3448275862069,57,13.0894308943089
"120",120,"BY","BYP","Brickyard Park",3,5,8,2019,"5/8/2019","Spring 2019","19-May",4,20,47,3,44,17.2,1,4.612,0.287,NA,1.396,0.06,NA,3,38,NA,NA,NA,NA,NA,"",7.31707317073171,NA,4.12087912087912
"121",121,"BY","BYP","Brickyard Park",10,5,8,2019,"5/8/2019","Spring 2019","19-May",15,12,1,1,0,22.3,1,10.157,6.364,NA,2.431,0.653,NA,22,43,NA,NA,NA,NA,NA,"",33.8461538461538,NA,21.1738002594034
"122",122,"ND","PTC","Point Chauncey",5,5,9,2019,"5/9/2019","Spring 2019","19-May",7,12,92,0,92,3.5,1,0.096,0,NA,0.062,0,NA,0,3,NA,NA,NA,NA,NA,"",0,NA,0
"123",123,"ND","PTC","Point Chauncey",9,5,9,2019,"5/9/2019","Spring 2019","19-May",13,2,3,0,3,2.5,1,0.044,0,NA,0.035,0,NA,0,2,NA,NA,NA,NA,NA,"",0,NA,0
"124",124,"BY","BYP","Brickyard Park",1,6,8,2019,"6/8/2019","Spring 2019","19-Jun",2,2,1,0,1,15,1,0.726,0,NA,0.365,0,NA,0,28,NA,NA,NA,NA,NA,"lots of washed up seagrass. There was about 300 juvenile fucus (clover sized) at meter 13 but that number wasn't randomly chosen for sampling.",0,NA,0
"125",125,"BY","BYP","Brickyard Park",2,6,8,2019,"6/8/2019","Spring 2019","19-Jun",3,35,17,7,10,18.8,1,3.395,0,NA,1.552,0,NA,0,36,NA,NA,NA,NA,NA,"",0,NA,0
"126",126,"BY","BYP","Brickyard Park",3,6,8,2019,"6/8/2019","Spring 2019","19-Jun",4,4,7,0,7,31,1,3.599,0,NA,1.695,0,NA,0,52,NA,NA,NA,NA,NA,"",0,NA,0
"127",127,"BY","BYP","Brickyard Park",1,7,20,2019,"7/20/2019","Summer 2019","19-Jul",2,1,8,0,8,17,1,12.8,0,NA,3.268,0,NA,0,53,NA,NA,NA,NA,NA,"",0,NA,0
"128",128,"BY","BYP","Brickyard Park",2,7,20,2019,"7/20/2019","Summer 2019","19-Jul",4,6,75,0,75,12.5,1,1.628,0,NA,0.515,0,NA,0,11,NA,NA,NA,NA,NA,"",0,NA,0
"129",129,"BY","BYP","Brickyard Park",3,7,20,2019,"7/20/2019","Summer 2019","19-Jul",5,5,46,1,45,22,1,9.081,1.33,NA,2.43,0.217,0.141,4,41,202,1,16,13,"N","",8.88888888888889,10,8.19795995466566
"130",130,"BY","BYP","Brickyard Park",6,7,20,2019,"7/20/2019","Summer 2019","19-Jul",9,7,48,0,48,6.8,1,0.232,0,NA,0.064,0,NA,0,9,NA,NA,NA,NA,NA,"",0,NA,0
"131",131,"BY","BYP","Brickyard Park",8,7,20,2019,"7/20/2019","Summer 2019","19-Jul",12,6,0,0,0,20.3,1,14.554,1.107,NA,3.383,0.217,0.044,11,60,140,0,0,0,NA,"",15.4929577464789,0,6.02777777777778
"132",132,"BY","BYP","Brickyard Park",9,7,20,2019,"7/20/2019","Summer 2019","19-Jul",13,19,211,0,211,4.5,1,0.072,0,NA,0.031,0,NA,0,3,NA,NA,NA,NA,NA,"",0,NA,0
"133",133,"BY","BYP","Brickyard Park",10,7,20,2019,"7/20/2019","Summer 2019","19-Jul",15,3,35,0,35,3.5,1,0.42,0,NA,0.025,0,NA,0,3,NA,NA,NA,NA,NA,"",0,NA,0
"134",134,"ND","PTC","Point Chauncey",5,7,21,2019,"7/21/2019","Summer 2019","19-Jul",7,2,3,0,3,7,1,1.171,0,NA,0.287,0,NA,0,9,NA,NA,NA,NA,NA,"",0,NA,0
"135",135,"PC","PCY","Paradise Cay",2,7,21,2019,"7/21/2019","Summer 2019","19-Jul",3,10,36,0,36,11.9,1,4.697,0,NA,1.12,0,NA,0,18,NA,NA,NA,NA,NA,"",0,NA,0
"136",136,"PC","PCY","Paradise Cay",3,7,21,2019,"7/21/2019","Summer 2019","19-Jul",4,2,2,0,2,7,1,0.955,0.185,NA,0.277,0.033,NA,1,12,NA,NA,NA,NA,NA,"",7.69230769230769,NA,10.6451612903226
"137",137,"PC","PCY","Paradise Cay",4,7,21,2019,"7/21/2019","Summer 2019","19-Jul",7,1,11,0,11,NA,1,0.033,0,NA,0.012,0,NA,0,2,NA,NA,NA,NA,NA,"",0,NA,0
"138",138,"PC","PCY","Paradise Cay",5,7,21,2019,"7/21/2019","Summer 2019","19-Jul",8,0,0,0,0,12.8,1,6.35,0.846,0.141,1.573,0.126,0.024,5,28,144,0,0,0,NA,"",15.1515151515152,0,7.41612713360801
"139",139,"PC","PCY","Paradise Cay",7,7,21,2019,"7/21/2019","Summer 2019","19-Jul",10,1,4,0,4,5.4,1,0.42,0,NA,0.113,0,NA,0,4,NA,NA,NA,NA,NA,"",0,NA,0
"140",140,"PC","PCY","Paradise Cay",9,7,21,2019,"7/21/2019","Summer 2019","19-Jul",13,2,0,0,0,8.8,1,3.405,0,NA,0.857,0,NA,0,21,NA,NA,NA,NA,NA,"",0,NA,0
"141",141,"PC","PCY","Paradise Cay",10,7,21,2019,"7/21/2019","Summer 2019","19-Jul",15,11,24,0,24,7.6,1,1.5,0,NA,0.562,0,NA,0,12,NA,NA,NA,NA,NA,"",0,NA,0
"142",142,"BY","BYP","Brickyard Park",1,8,4,2019,"8/4/2019","Summer 2019","19-Aug",2,1,7,0,7,8,1,0.897,0,NA,0.373,0,NA,0,16,NA,NA,NA,NA,NA,"Very few adult fucus thalli, <20 total at the site",0,NA,0
"143",143,"BY","BYP","Brickyard Park",3,8,4,2019,"8/4/2019","Summer 2019","19-Aug",4,6,57,0,57,13.1,1,2.896,0,NA,0.932,0,NA,0,28,NA,NA,NA,NA,"N","",0,NA,0
"144",144,"BY","BYP","Brickyard Park",4,8,4,2019,"8/4/2019","Summer 2019","19-Aug",5,4,38,0,38,0,1,0.098,0,NA,0.062,0,NA,0,7,NA,NA,NA,NA,NA,"",0,NA,0
"145",145,"BY","BYP","Brickyard Park",5,8,4,2019,"8/4/2019","Summer 2019","19-Aug",6,1,15,0,15,4.9,1,1.7,0,NA,0.275,0,NA,0,15,NA,NA,NA,NA,NA,"",0,NA,0
"146",146,"BY","BYP","Brickyard Park",6,8,4,2019,"8/4/2019","Summer 2019","19-Aug",7,3,17,1,16,18.2,1,6.69,0,NA,1.597,0,NA,0,19,NA,NA,NA,NA,NA,"",0,NA,0
"147",147,"BY","BYP","Brickyard Park",8,8,4,2019,"8/4/2019","Summer 2019","19-Aug",9,2,4,0,4,7.6,1,0.529,0,NA,0.26,0,NA,0,4,NA,NA,NA,NA,NA,"",0,NA,0
"148",148,"BY","BYP","Brickyard Park",10,8,4,2019,"8/4/2019","Summer 2019","19-Aug",13,32,347,0,347,4.9,1,0.037,0,NA,0.032,0,NA,0,3,NA,NA,NA,NA,NA,"",0,NA,0
"149",149,"HS","HSB","Horseshoe Bay",8,8,4,2019,"8/4/2019","Summer 2019","19-Aug",11,1,3,0,3,8,1,1.424,0,NA,0.384,0,NA,0,5,NA,NA,NA,NA,NA,"",0,NA,0
"150",150,"ND","PTC","Point Chauncey",5,8,4,2019,"8/4/2019","Summer 2019","19-Aug",6,4,4,1,3,12.6,1,4.063,1.378,NA,1.084,0.244,NA,5,13,NA,NA,NA,NA,NA,"",27.7777777777778,NA,18.3734939759036
"151",151,"ND","PTC","Point Chauncey",9,8,4,2019,"8/4/2019","Summer 2019","19-Aug",12,4,7,1,6,25.5,1,8.566,21.27,1.168,2.166,2.926,0.145,55,24,206,29,46,25,"Y","",69.620253164557,33.3333333333333,57.4626865671642
"152",152,"PC","PCY","Paradise Cay",1,8,4,2019,"8/4/2019","Summer 2019","19-Aug",2,1,11,0,11,5.4,1,0.219,0,NA,0.138,0,NA,0,4,NA,NA,NA,NA,NA,"",0,NA,0
"153",153,"PC","PCY","Paradise Cay",2,8,4,2019,"8/4/2019","Summer 2019","19-Aug",3,6,13,0,13,9.7,1,1.524,0,NA,0.431,0,NA,0,11,NA,NA,NA,NA,NA,"",0,NA,0
"154",154,"PC","PCY","Paradise Cay",3,8,4,2019,"8/4/2019","Summer 2019","19-Aug",5,2,2,0,2,10,1,2.572,0,NA,0.556,0,NA,0,14,NA,NA,NA,NA,NA,"",0,NA,0
"155",155,"PC","PCY","Paradise Cay",5,8,4,2019,"8/4/2019","Summer 2019","19-Aug",7,4,18,0,18,6.6,1,1.573,0,NA,0.392,0,NA,0,11,NA,NA,NA,NA,NA,"",0,NA,0
"156",156,"PC","PCY","Paradise Cay",8,8,4,2019,"8/4/2019","Summer 2019","19-Aug",13,8,15,0,15,9.1,1,1.992,0,NA,0.461,0,NA,0,10,NA,NA,NA,NA,NA,"",0,NA,0
"157",157,"PC","PCY","Paradise Cay",10,8,4,2019,"8/4/2019","Summer 2019","19-Aug",15,14,36,2,34,13.5,1,4.737,0.961,0.209,1.077,0.124,0.029,5,13,88,0,0,0,NA,"",27.7777777777778,0,10.3247293921732
"158",158,"BY","BYP","Brickyard Park",1,9,12,2019,"9/12/2019","Summer 2019","19-Sep",1,45,33,6,27,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"159",159,"BY","BYP","Brickyard Park",2,9,12,2019,"9/12/2019","Summer 2019","19-Sep",2,3,10,0,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"160",160,"BY","BYP","Brickyard Park",3,9,12,2019,"9/12/2019","Summer 2019","19-Sep",3,20,41,4,37,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"161",161,"BY","BYP","Brickyard Park",4,9,12,2019,"9/12/2019","Summer 2019","19-Sep",5,9,25,0,25,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"162",162,"BY","BYP","Brickyard Park",5,9,12,2019,"9/12/2019","Summer 2019","19-Sep",8,2,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"163",163,"BY","BYP","Brickyard Park",6,9,12,2019,"9/12/2019","Summer 2019","19-Sep",9,6,51,0,51,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"164",164,"BY","BYP","Brickyard Park",7,9,12,2019,"9/12/2019","Summer 2019","19-Sep",11,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"165",165,"BY","BYP","Brickyard Park",9,9,12,2019,"9/12/2019","Summer 2019","19-Sep",13,30,225,0,225,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"166",166,"BY","BYP","Brickyard Park",10,9,12,2019,"9/12/2019","Summer 2019","19-Sep",14,10,79,0,79,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"167",167,"HS","HSB","Horseshoe Bay",6,9,12,2019,"9/12/2019","Summer 2019","19-Sep",10,5,11,0,11,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"168",168,"ND","PTC","Point Chauncey",1,9,12,2019,"9/12/2019","Summer 2019","19-Sep",1,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"169",169,"ND","PTC","Point Chauncey",5,9,12,2019,"9/12/2019","Summer 2019","19-Sep",6,15,19,3,16,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"170",170,"ND","PTC","Point Chauncey",8,9,12,2019,"9/12/2019","Summer 2019","19-Sep",10,22,16,2,14,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"171",171,"ND","PTC","Point Chauncey",9,9,12,2019,"9/12/2019","Summer 2019","19-Sep",14,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"172",172,"PC","PCY","Paradise Cay",2,9,12,2019,"9/12/2019","Summer 2019","19-Sep",2,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"173",173,"PC","PCY","Paradise Cay",3,9,12,2019,"9/12/2019","Summer 2019","19-Sep",4,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"174",174,"PC","PCY","Paradise Cay",5,9,12,2019,"9/12/2019","Summer 2019","19-Sep",7,8,12,0,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"175",175,"PC","PCY","Paradise Cay",6,9,12,2019,"9/12/2019","Summer 2019","19-Sep",8,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"176",176,"PC","PCY","Paradise Cay",7,9,12,2019,"9/12/2019","Summer 2019","19-Sep",10,21,19,5,14,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"177",177,"PC","PCY","Paradise Cay",8,9,12,2019,"9/12/2019","Summer 2019","19-Sep",12,24,24,2,22,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"178",178,"PC","PCY","Paradise Cay",9,9,12,2019,"9/12/2019","Summer 2019","19-Sep",13,32,23,5,18,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"179",179,"PC","PCY","Paradise Cay",10,9,12,2019,"9/12/2019","Summer 2019","19-Sep",14,15,19,3,16,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA
"180",180,"BY","BYP","Brickyard Park",3,6,15,2018,"6/15/2018","Spring 2018","18-Jun",4.5,65,68,NA,NA,NA,2,8.07,1.212,0.179,2.085,0.303,0.034,18,63,176,16,10,9,"N","",22.2222222222222,11.6666666666667,12.6884422110553
"181",181,"BY","BYP","Brickyard Park",4,6,15,2018,"6/15/2018","Spring 2018","18-Jun",6,41,42,NA,NA,NA,2,8.085,10.058,NA,1.937,1.563,NA,38,39,NA,NA,NA,NA,NA,"",49.3506493506493,NA,44.6571428571429
"182",182,"BY","BYP","Brickyard Park",5,6,15,2018,"6/15/2018","Spring 2018","18-Jun",6.5,24,38,NA,NA,NA,2,3.574,0.415,NA,0.927,0.072,NA,4,21,NA,NA,NA,NA,NA,"",16,NA,7.20720720720721
"183",183,"BY","BYP","Brickyard Park",6,6,15,2018,"6/15/2018","Spring 2018","18-Jun",8,26,31,NA,NA,NA,2,33.559,22.741,0.945,8.551,3.352,0.138,123,136,208,10,13,14,"N","",47.4903474903475,12.3333333333333,28.1609678232378
"184",184,"BY","BYP","Brickyard Park",8,6,15,2018,"6/15/2018","Spring 2018","18-Jun",9,49,62,NA,NA,NA,2,10.774,2.347,0.619,2.066,0.465,0.081,10,65,197,24,7,6,NA,"",13.3333333333333,12.3333333333333,18.3721849071513
"185",185,"BY","BYP","Brickyard Park",10,6,15,2018,"6/15/2018","Spring 2018","18-Jun",10,23,18,NA,NA,NA,2,14.447,2.702,NA,3.492,0.428,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,10.9183673469388
"186",186,"HS","HSB","Horseshoe Bay",2,6,15,2018,"6/15/2018","Spring 2018","18-Jun",5,48,56,NA,NA,NA,2,8.918,15.953,1.047,1.812,1.862,0.113,51,20,429,39,31,54,"Y","",71.830985915493,41.3333333333333,50.6804572672836
"187",187,"HS","HSB","Horseshoe Bay",3,6,15,2018,"6/15/2018","Spring 2018","18-Jun",6,35,28,NA,NA,NA,2,3.346,0,NA,0.61,0,NA,0,12,NA,NA,NA,NA,NA,"",0,NA,0
"188",188,"BY","BYP","Brickyard Park",1,7,16,2018,"7/16/2018","Summer 2018","18-Jul",1,55,59,12,47,NA,2,25.221,0,NA,6.521,0,NA,0,144,NA,NA,NA,NA,NA,"",0,NA,0
"189",189,"BY","BYP","Brickyard Park",3,7,16,2018,"7/16/2018","Summer 2018","18-Jul",3,53,332,7,325,NA,2,14.239,13.543,NA,3.588,2.146,NA,60,58,NA,NA,NA,NA,NA,"",50.8474576271186,NA,37.4258807115452
"190",190,"BY","BYP","Brickyard Park",6,7,16,2018,"7/16/2018","Summer 2018","18-Jul",7,21,25,5,20,NA,2,11.742,10.401,0.341,3.457,2.06,0.071,71,58,256,0,4,5,"N","",55.0387596899225,3,37.3391335870944
"191",191,"PC","PCY","Paradise Cay",10,7,17,2018,"7/17/2018","Summer 2018","18-Jul",14,24,17,3,14,NA,2,14.343,25.31,1.094,4.469,3.678,0.177,47,63,234,28,37,11,"Y","",42.7272727272727,25.3333333333333,45.1454523137351
"192",192,"HS","HSB","Horseshoe Bay",1,8,6,2018,"8/6/2018","Summer 2018","18-Aug",1,11,8,2,6,NA,2,17.85,4.335,NA,4.749,0.768,NA,18,90,NA,NA,NA,NA,NA,"Dead sea lion on rocks, 2 dead shore crabs, fucus thalli extra dry",16.6666666666667,NA,13.9206090266449
"193",193,"ND","PTC","Point Chauncey",8,8,7,2018,"8/7/2018","Summer 2018","18-Aug",10,68,249,27,222,NA,2,4.601,0,NA,1.503,0,NA,0,32,NA,NA,NA,NA,NA,"",0,NA,0
"194",194,"ND","PTC","Point Chauncey",4,9,11,2018,"9/11/2018","Summer 2018","18-Sep",7,19,17,6,11,NA,2,1.164,0,NA,0.332,0,NA,0,12,NA,NA,NA,NA,NA,"",0,NA,0
"195",195,"ND","PTC","Point Chauncey",10,9,11,2018,"9/11/2018","Summer 2018","18-Sep",15,62,60,13,47,NA,2,28.607,28.754,NA,4.241,3.549,NA,57,61,NA,NA,NA,NA,NA,"",48.3050847457627,NA,45.5584082156611
"196",196,"PC","PCY","Paradise Cay",9,9,11,2018,"9/11/2018","Summer 2018","18-Sep",12,99,242,37,205,NA,2,8.604,4.057,0.621,1.844,0.485,0.072,12,31,240,19,2,31,"N","",27.906976744186,17.3333333333333,20.8243881494204
"197",197,"HS","HSB","Horseshoe Bay",10,10,9,2018,"10/9/2018","Fall 2018","18-Oct",14,69,35,9,26,21.9,2,29.634,9.334,NA,8.545,1.567,NA,26,56,NA,NA,NA,NA,NA,"",31.7073170731707,NA,15.4964398734177
"198",198,"ND","PTC","Point Chauncey",8,10,10,2018,"10/10/2018","Fall 2018","18-Oct",12,51,41,2,39,18,2,25.282,25.229,2.503,1.58,3.602,0.346,55,8,766,124,73,37,NA,"",87.3015873015873,78,69.5098417599382
"199",199,"BY","BYP","Brickyard Park",2,11,6,2018,"11/6/2018","Fall 2018","18-Nov",5,73,59,17,42,23.2,2,22.821,29.442,NA,6.201,4.001,NA,92,87,NA,NA,NA,NA,NA,"",51.3966480446927,NA,39.217800431288
"200",200,"BY","BYP","Brickyard Park",4,11,6,2018,"11/6/2018","Fall 2018","18-Nov",7,43,28,4,24,15.4,2,28.132,20.653,0.46,7.725,3.808,0.067,66,114,384,29,21,30,"N","",36.6666666666667,26.6666666666667,33.0182953264545
"201",201,"BY","BYP","Brickyard Park",6,11,6,2018,"11/6/2018","Fall 2018","18-Nov",11,25,12,2,10,18.8,2,8.068,6.801,0.561,2.207,1.152,0.087,41,23,340,28,27,12,"N","",64.0625,22.3333333333333,34.2959214051801
"202",202,"BY","BYP","Brickyard Park",7,11,6,2018,"11/6/2018","Fall 2018","18-Nov",12,53,38,5,33,14.8,2,19.512,7.293,NA,4.651,1.18,NA,37,67,NA,NA,NA,NA,NA,"",35.5769230769231,NA,20.2366660950094
"203",203,"HS","HSB","Horseshoe Bay",1,11,6,2018,"11/6/2018","Fall 2018","18-Nov",1,16,7,1,6,18.6,2,14.48,25.185,1.021,4.81,5.991,0.233,91,23,722,40,99,49,"Y","",79.8245614035088,62.6666666666667,55.4670863808907
"204",204,"BY","BYP","Brickyard Park",3,12,4,2018,"12/4/2018","Fall 2018","18-Dec",3,51,57,12,45,20.5,2,2.181,3.47,NA,2.659,0.492,NA,21,31,NA,NA,NA,NA,NA,"",40.3846153846154,NA,15.6140907648366
"205",205,"BY","BYP","Brickyard Park",5,12,4,2018,"12/4/2018","Fall 2018","18-Dec",5,59,26,14,12,19.1,2,18.851,9.137,0.409,4.331,1.107,0.054,44,57,460,35,60,47,"Y","",43.5643564356436,47.3333333333333,20.3567488047076
"206",206,"BY","BYP","Brickyard Park",6,12,4,2018,"12/4/2018","Fall 2018","18-Dec",6,31,16,4,12,18.5,2,12.074,4.215,NA,2.733,0.55,NA,22,47,NA,NA,NA,NA,NA,"",31.8840579710145,NA,16.7529698446543
"207",207,"BY","BYP","Brickyard Park",8,12,4,2018,"12/4/2018","Fall 2018","18-Dec",10,42,21,6,15,19.1,2,36.331,13.586,0.672,7.979,1.751,0.089,59,128,204,47,26,54,"Y","",31.5508021390374,42.3333333333333,17.9958890030832
"208",208,"BY","BYP","Brickyard Park",9,12,4,2018,"12/4/2018","Fall 2018","18-Dec",12,33,21,7,14,13.3,2,6.995,0,NA,1.556,0,NA,0,34,NA,NA,NA,NA,NA,"",0,NA,0
"209",209,"HS","HSB","Horseshoe Bay",7,12,4,2018,"12/4/2018","Fall 2018","18-Dec",12,43,14,9,5,10.4,2,3.15,1.272,1.272,0.833,0.23,0.23,2,20,420,71,9,15,"Y","",9.09090909090909,31.6666666666667,21.6368767638758
"210",210,"ND","PTC","Point Chauncey",6,12,5,2018,"12/5/2018","Fall 2018","18-Dec",8,16,10,2,8,11.4,2,4.263,6.637,NA,0.989,0.911,NA,32,16,NA,NA,NA,NA,NA,"",66.6666666666667,NA,47.9473684210526
"211",211,"ND","PTC","Point Chauncey",7,12,5,2018,"12/5/2018","Fall 2018","18-Dec",10,12,5,1,4,13.9,2,5.319,5.481,NA,1.3,0.869,NA,61,48,NA,NA,NA,NA,NA,"",55.9633027522936,NA,40.0645458736745
"212",212,"PC","PCY","Paradise Cay",1,12,5,2018,"12/5/2018","Fall 2018","18-Dec",2,65,39,24,15,19,2,9.938,0.775,0.15,2.443,0.111,0.026,4,75,182,40,39,25,"Y","Found live oysters and clams. Saw some bryozoa on fucus, found a giant live oyster ~size of hand (have pics)",5.06329113924051,34.6666666666667,4.3461237274863
"213",213,"PC","PCY","Paradise Cay",5,12,5,2018,"12/5/2018","Fall 2018","18-Dec",8,69,55,12,43,13.9,2,3.504,4.865,NA,0.764,0.555,NA,17,18,NA,NA,NA,NA,NA,"",48.5714285714286,NA,42.0773313115997
"214",214,"ND","PTC","Point Chauncey",2,1,30,2019,"1/30/2019","Winter 2019","19-Jan",3,27,21,5,16,8.4,2,1.679,0.31,NA,0.487,0.065,NA,4,21,NA,NA,NA,NA,NA,"",16,NA,11.7753623188406
"215",215,"ND","PTC","Point Chauncey",6,1,30,2019,"1/30/2019","Winter 2019","19-Jan",9,8,8,0,8,14,2,5.158,1.601,NA,1.214,0.194,NA,5,28,NA,NA,NA,NA,NA,"",15.1515151515152,NA,13.7784090909091
"216",216,"PC","PCY","Paradise Cay",1,1,30,2019,"1/30/2019","Winter 2019","19-Jan",1,49,31,14,17,3,2,3.36,0.085,NA,0.904,0.014,NA,1,26,NA,NA,NA,NA,NA,"",3.7037037037037,NA,1.52505446623094
"217",217,"BY","BYP","Brickyard Park",2,1,31,2019,"1/31/2019","Winter 2019","19-Jan",3,44,41,3,38,6,2,1.298,0,NA,0.267,0,NA,0,12,NA,NA,NA,NA,NA,"",0,NA,0
"218",218,"BY","BYP","Brickyard Park",7,1,31,2019,"1/31/2019","Winter 2019","19-Jan",11,21,7,2,5,13.5,2,3.934,0,NA,0.797,0,NA,0,44,NA,NA,NA,NA,NA,"",0,NA,0
"219",219,"BY","BYP","Brickyard Park",8,1,31,2019,"1/31/2019","Winter 2019","19-Jan",13,56,39,3,36,17.5,2,19.403,0.398,NA,3.767,0.043,NA,3,74,156,9,0,61,NA,"",3.8961038961039,23.3333333333333,1.12860892388451
"220",220,"BY","BYP","Brickyard Park",9,1,31,2019,"1/31/2019","Winter 2019","19-Jan",14,53,18,7,11,20.8,2,14.894,3.896,1.075,3.21,0.351,0.1,9,63,NA,NA,NA,NA,NA,"",12.5,NA,9.85678180286436
"221",221,"BY","BYP","Brickyard Park",10,1,31,2019,"1/31/2019","Winter 2019","19-Jan",15,42,8,5,3,19,2,15.367,0.253,NA,3.58,0.041,NA,3,61,NA,NA,NA,NA,NA,"",4.6875,NA,1.13228389947528
"222",222,"HS","HSB","Horseshoe Bay",3,1,31,2019,"1/31/2019","Winter 2019","19-Jan",4,92,68,20,48,22.7,2,22.148,3.146,0.569,6.332,0.482,0.084,16,97,544,25,64,72,"Y","",14.1592920353982,53.6666666666667,7.07367185206927
"223",223,"HS","HSB","Horseshoe Bay",5,1,31,2019,"1/31/2019","Winter 2019","19-Jan",9,33,25,6,19,26.8,2,26.537,2.308,0.708,7.287,0.38,0.107,11,66,534,22,10,19,"N","",14.2857142857143,17,4.95630624755445
